Index,title,author,rating,complete_link
0,Fundamentals of Data Engineering: Plan and Build Robust Data Systems,"Joe Reis,Matt Housley",10.0,https://www.amazon.com/Fundamentals-Data-Engineering-Robust-Systems/dp/1098108302/ref=sr_1_11?crid=1IWIG31DNPO6P&keywords=data+science&qid=1663447969&sprefix=data+science%2Caps%2C586&sr=8-11
1,Effective Data Science Infrastructure: How to make data scientists productive,Ville Tuulos,10.0,https://www.amazon.com/Effective-Data-Science-Infrastructure-scientists/dp/1617299197/ref=sr_1_51?crid=1IWIG31DNPO6P&keywords=data+science&qid=1663447969&sprefix=data+science%2Caps%2C586&sr=8-51
2,Be Data Driven: How Organizations Can Harness the Power of Data,Jordan Morrow,10.0,https://www.amazon.com/Be-Data-Driven-Organizations-Harness/dp/139860612X/ref=sr_1_42?crid=1IWIG31DNPO6P&keywords=data+science&qid=1663447969&sprefix=data+science%2Caps%2C586&sr=8-42
3,Python for Data Analysis: Data Wrangling with pandas NumPy and Jupyter,Wes McKinney,10.0,https://www.amazon.com/Python-Data-Analysis-Wrangling-Jupyter/dp/109810403X/ref=sr_1_30?crid=1IWIG31DNPO6P&keywords=data+science&qid=1663447969&sprefix=data+science%2Caps%2C586&sr=8-30
4,Data Science Ethics: Concepts Techniques and Cautionary Tales,David Martens,10.0,https://www.amazon.com/Data-Science-Ethics-Techniques-Cautionary/dp/0192847279/ref=sr_1_102?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663447986&sprefix=data+science%2Caps%2C828&sr=8-102
5,Simplify Big Data Analytics with Amazon EMR: A beginners guide to learning and implementing Amazon EMR for building data analytics solutions,Sakti Mishra,10.0,https://www.amazon.com/Simplify-Big-Data-Analytics-Amazon/dp/1801071071/ref=sr_1_91?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663447986&sprefix=data+science%2Caps%2C828&sr=8-91
6,SQL for Data Analytics: Harness the power of SQL to extract insights from data 3rd Edition,"Jun Shan,Matt Goldwasser et al.",10.0,https://www.amazon.com/SQL-Data-Analytics-Harness-insights/dp/180181287X/ref=sr_1_88?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663447986&sprefix=data+science%2Caps%2C828&sr=8-88
7,Communicating with Data: Making Your Case With Data,Carl Allchin,10.0,https://www.amazon.com/Communicating-Data-Making-Your-Case/dp/1098101855/ref=sr_1_85?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663447986&sprefix=data+science%2Caps%2C828&sr=8-85
8,Data Analytics: A Small Data Approach (Chapman & Hall/CRC Data Science Series),,10.0,https://www.amazon.com/Data-Analytics-Approach-Chapman-Science/dp/0367609509/ref=sr_1_111?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663447999&sprefix=data+science%2Caps%2C828&sr=8-111
9,Video Data Analysis: How to Use 21st Century Video in the Social Sciences,"Anne Nassauer,Nicolas M. Legewie",10.0,https://www.amazon.com/Video-Data-Analysis-Century-Sciences/dp/1529722454/ref=sr_1_150?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663447999&sprefix=data+science%2Caps%2C828&sr=8-150
10,Comet for Data Science: Enhance your ability to manage and optimize the life cycle of your data science project,"Angelica Lo Duca,Gideon Mendels",10.0,https://www.amazon.com/Comet-Data-Science-Enhance-optimize/dp/1801814430/ref=sr_1_124?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663447999&sprefix=data+science%2Caps%2C828&sr=8-124
11,Optimization for Data Analysis,"Stephen J. Wright,Benjamin Recht",10.0,https://www.amazon.com/Optimization-Data-Analysis-Stephen-Wright/dp/1316518981/ref=sr_1_125?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663447999&sprefix=data+science%2Caps%2C828&sr=8-125
12,Guide to Data Science: Brief Introduction to the Quirky World of Data,Aryan Goyal,10.0,https://www.amazon.com/Guide-Data-Science-Introduction-Quirky/dp/B0B9PR49KN/ref=sr_1_193?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663448020&sprefix=data+science%2Caps%2C828&sr=8-193
13,Introduction to Computation: Haskell Logic and Automata (Undergraduate Topics in Computer Science),,10.0,https://www.amazon.com/Introduction-to-ComputationHaskell_-Logic-and-Automata-Undergraduate-Topics-in-Computer-Science/dp/3030769070/ref=sr_1_190?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663448020&sprefix=data+science%2Caps%2C828&sr=8-190
14,Integrating Data,"Bill Inmon,Patty Haines et al.",10.0,https://www.amazon.com/Integrating-Data-Bill-Inmon/dp/1634622820/ref=sr_1_186?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663448020&sprefix=data+science%2Caps%2C828&sr=8-186
15,Data Science for Librarians (Library and Information Science Text Series),,10.0,https://www.amazon.com/Data-Science-Librarians-Yunfei-Du/dp/1440871213/ref=sr_1_234?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663448033&sprefix=data+science%2Caps%2C828&sr=8-234
