title,author,Rating,complete_link
Fundamentals of Data Engineering: Plan and Build Robust Data Systems,"Joe Reis,Matt Housley",1,https://www.amazon.com/Fundamentals-Data-Engineering-Robust-Systems/dp/1098108302/ref=sr_1_11?crid=1IWIG31DNPO6P&keywords=data+science&qid=1663447969&sprefix=data+science%2Caps%2C586&sr=8-11
Effective Data Science Infrastructure: How to make data scientists productive,Ville Tuulos,1,https://www.amazon.com/Effective-Data-Science-Infrastructure-scientists/dp/1617299197/ref=sr_1_51?crid=1IWIG31DNPO6P&keywords=data+science&qid=1663447969&sprefix=data+science%2Caps%2C586&sr=8-51
Be Data Driven: How Organizations Can Harness the Power of Data,Jordan Morrow,1,https://www.amazon.com/Be-Data-Driven-Organizations-Harness/dp/139860612X/ref=sr_1_42?crid=1IWIG31DNPO6P&keywords=data+science&qid=1663447969&sprefix=data+science%2Caps%2C586&sr=8-42
Python for Data Analysis: Data Wrangling with pandas NumPy and Jupyter,Wes McKinney,1,https://www.amazon.com/Python-Data-Analysis-Wrangling-Jupyter/dp/109810403X/ref=sr_1_30?crid=1IWIG31DNPO6P&keywords=data+science&qid=1663447969&sprefix=data+science%2Caps%2C586&sr=8-30
Data Science Ethics: Concepts Techniques and Cautionary Tales,David Martens,1,https://www.amazon.com/Data-Science-Ethics-Techniques-Cautionary/dp/0192847279/ref=sr_1_102?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663447986&sprefix=data+science%2Caps%2C828&sr=8-102
Simplify Big Data Analytics with Amazon EMR: A beginners guide to learning and implementing Amazon EMR for building data analytics solutions,Sakti Mishra,1,https://www.amazon.com/Simplify-Big-Data-Analytics-Amazon/dp/1801071071/ref=sr_1_91?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663447986&sprefix=data+science%2Caps%2C828&sr=8-91
SQL for Data Analytics: Harness the power of SQL to extract insights from data 3rd Edition,"Jun Shan,Matt Goldwasser et al.",1,https://www.amazon.com/SQL-Data-Analytics-Harness-insights/dp/180181287X/ref=sr_1_88?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663447986&sprefix=data+science%2Caps%2C828&sr=8-88
Communicating with Data: Making Your Case With Data,Carl Allchin,1,https://www.amazon.com/Communicating-Data-Making-Your-Case/dp/1098101855/ref=sr_1_85?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663447986&sprefix=data+science%2Caps%2C828&sr=8-85
Data Analytics: A Small Data Approach (Chapman & Hall/CRC Data Science Series),,1,https://www.amazon.com/Data-Analytics-Approach-Chapman-Science/dp/0367609509/ref=sr_1_111?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663447999&sprefix=data+science%2Caps%2C828&sr=8-111
Video Data Analysis: How to Use 21st Century Video in the Social Sciences,"Anne Nassauer,Nicolas M. Legewie",1,https://www.amazon.com/Video-Data-Analysis-Century-Sciences/dp/1529722454/ref=sr_1_150?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663447999&sprefix=data+science%2Caps%2C828&sr=8-150
Comet for Data Science: Enhance your ability to manage and optimize the life cycle of your data science project,"Angelica Lo Duca,Gideon Mendels",1,https://www.amazon.com/Comet-Data-Science-Enhance-optimize/dp/1801814430/ref=sr_1_124?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663447999&sprefix=data+science%2Caps%2C828&sr=8-124
Optimization for Data Analysis,"Stephen J. Wright,Benjamin Recht",1,https://www.amazon.com/Optimization-Data-Analysis-Stephen-Wright/dp/1316518981/ref=sr_1_125?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663447999&sprefix=data+science%2Caps%2C828&sr=8-125
Guide to Data Science: Brief Introduction to the Quirky World of Data,Aryan Goyal,1,https://www.amazon.com/Guide-Data-Science-Introduction-Quirky/dp/B0B9PR49KN/ref=sr_1_193?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663448020&sprefix=data+science%2Caps%2C828&sr=8-193
Introduction to Computation: Haskell Logic and Automata (Undergraduate Topics in Computer Science),,1,https://www.amazon.com/Introduction-to-ComputationHaskell_-Logic-and-Automata-Undergraduate-Topics-in-Computer-Science/dp/3030769070/ref=sr_1_190?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663448020&sprefix=data+science%2Caps%2C828&sr=8-190
Integrating Data,"Bill Inmon,Patty Haines et al.",1,https://www.amazon.com/Integrating-Data-Bill-Inmon/dp/1634622820/ref=sr_1_186?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663448020&sprefix=data+science%2Caps%2C828&sr=8-186
Data Science for Librarians (Library and Information Science Text Series),,1,https://www.amazon.com/Data-Science-Librarians-Yunfei-Du/dp/1440871213/ref=sr_1_234?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663448033&sprefix=data+science%2Caps%2C828&sr=8-234
Scalable Data Analytics with Azure Data Explorer: Modern ways to query analyze and perform real-time data analysis on large volumes of data,"Jason Myerscough,Arunee Singhchawla",1,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg5_1?ie=UTF8&adId=A054002311769YDNXLEY9&url=%2FScalable-Data-Analytics-Azure-Explorer%2Fdp%2F1801078548%2Fref%3Dsr_1_225_sspa%3Fcrid%3D2YKZLS0CJFDGI%26keywords%3Ddata%2Bscience%26qid%3D1663448033%26sprefix%3Ddata%2Bscience%252Caps%252C828%26sr%3D8-225-spons%26psc%3D1&qualifier=1663448033&id=4081593171667701&widgetName=sp_mtf
Pre-K-12 Guidelines for Assessment and Instruction in Statistics Education II (GAISE II): A Framework for Statistics and Data Science Education,"Anna Bargagliotti,Christine Franklin et al.",1,https://www.amazon.com/Guidelines-Assessment-Instruction-Statistics-Education/dp/1734223510/ref=sr_1_287?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663448047&sprefix=data+science%2Caps%2C828&sr=8-287
Learning Tableau 2022,"Joshua N. Milligan,Blair Hutchinson et al.",1,https://www.amazon.com/Learning-Tableau-2022-Joshua-Milligan/dp/1801072329/ref=sr_1_294?crid=2YKZLS0CJFDGI&keywords=data+science&qid=1663448047&sprefix=data+science%2Caps%2C828&sr=8-294
